group,mean_gc_skew,mean_gc_skew_stddev,n
Spermatophyta,-0.0028903824348663026,0.10918162248005076,9272554
Euteleostomi,-0.0020881072190416417,0.0835375790871318,5831760
Insecta,-0.00561508452346642,0.09431519188786328,5034626
Eurotiomycetes,0.0002362630066977052,0.08838443193374207,1843995
Sordariomycetes,0.0005852344323353787,0.0948704686594566,1729862
Dothideomycetes,8.584629881987006e-05,0.09516825007358372,856857
Bivalvia,0.0025705665444669583,0.09387981818394532,628146
Agaricomycetes,0.0009522487884744794,0.09939653907370835,595852
Multicrustacea,-0.005900627249549428,0.14445800265611922,543295
Arachnida,-0.002350597311643247,0.08776360896324882,497738
Gastropoda,0.0037135082506212225,0.11067540835863489,352173
Scleractinia,0.000968817574449802,0.07191284688588084,328556
Pichiomycetes,0.0009695973300800734,0.11354947688964454,275472
Tremellomycetes,-9.723923869685132e-05,0.09237237891187781,247395
Trypanosomatida,-0.002474620645039375,0.09589566692613369,216680
Leotiomycetes,0.0007952196554402053,0.11302988598960778,214065
Saccharomycetes,-6.079885821880644e-06,0.12445669364826047,182612
Mucoromycetes,0.0007004965458891521,0.10847634372020566,166741
Rhabditida,0.011712659740940497,0.1882212805928599,165709
Peronosporaceae,0.0014889020818034235,0.09210316140063685,135273
Branchiopoda,0.0002795583611182111,0.08398227199142441,129614
,0.0007755649754751999,0.1275140587863736,116940
Coccidia,0.00045303351277690897,0.11369231480025434,113351
Anthoathecata,0.002992418027988602,0.09334870842769284,109730
Haemosporida,0.00040183892252351777,0.16894683280420902,106819
Trichomonas,0.0010517078500386508,0.1353630217500185,88188
Actiniaria,0.006365691475002926,0.083482434713023,86881
Echinoidea,-0.0007840441262151885,0.0794170755996751,86529
Oligohymenophorea,0.0007287467928715485,0.1697545431035729,75893
Saprolegniaceae,-0.00033790952187769075,0.07605555738664119,73275
Asteroidea,-0.00169845056747695,0.0687718369494358,66488
Lipomycetes,-0.0005799773909740953,0.0960944673335633,64392
Pucciniomycetes,0.00018141598524498324,0.1391541787174675,63342
Malacalcyonacea,0.00011154215985704647,0.09380534017394225,57451
CS clade,-0.0013238849959322123,0.09322378799500536,55712
Exobasidiomycetes,-0.0006306349674011587,0.07983643986395836,51103
Ustilaginomycetes,-0.0005543929195252807,0.10453824115633363,49226
Piroplasmida,0.0011535067942056152,0.10472161226705305,48611
Cephalopoda,-0.019365734274240997,0.1272936878273851,48274
Lycopodiopsida,-0.0006043177558123178,0.09446170640220188,45695
Chytridiomycetes,0.001200881154671789,0.0916745215756989,45369
Vahlkampfiidae,0.0011861415861670799,0.1280302709114548,45298
Pezizomycetes,0.0001248948497651381,0.11047977556989574,43607
Trematoda,0.019515863901201868,0.13280469769692932,40605
Noelaerhabdaceae,0.0016495263968505864,0.09784341448268345,39334
Ptychodera,0.0004971995580312687,0.05581100861331622,38040
Acytosteliales,0.0017545443620274352,0.13057055019464248,37735
Lecanoromycetes,0.005672296974262713,0.10236743341596527,35789
Entamoebidae,-0.0005284334743916172,0.17384558805259084,35341
Schizosaccharomycetes,0.0013588563882243469,0.09870026656279793,34435
Bryophytina,0.00019411492801543005,0.11878919798338824,33037
Dictyoceratida,0.0008493400550254492,0.08566593903424462,32937
Saccoglossus,-0.0003009166724896232,0.09973723742727868,31573
Glomeromycetes,-0.0018663800012239545,0.15441346599765382,30452
Linguliformea,-3.6347574969728725e-05,0.07291053958193297,30200
Perkinsida,-0.0007500336819946366,0.1399422098364328,29496
Polypodiopsida,-0.019942894389806617,0.11051225408007273,28247
Collembola,-0.0033964636800534087,0.09008629643607236,28160
Leptothecata,-0.00015751369209646268,0.08168160702975125,27519
Dictyosteliales,0.00043964184604909596,0.1585812202616491,26485
