length_log_bucket,gc_bucket,n
0,1,38
0,2,24
0,3,1
0,4,133
0,5,1
0,6,442
0,7,14
0,8,1085
0,9,46
0,10,2102
0,11,45
0,12,3019
0,13,30
0,14,3170
0,15,41
0,16,2626
0,17,76
0,18,1631
0,19,75
0,20,883
0,21,457
0,22,37
0,23,140
0,24,9
0,25,42
0,26,9
0,27,12
0,29,2
0,31,7
0,32,1
0,33,1
0,34,5
0,35,3
0,41,26
1,3,2
1,5,1
1,6,2
1,7,3
1,8,4
1,9,11
1,10,7
1,11,30
1,12,24
1,13,66
1,14,23
1,15,53
1,16,28
1,17,30
1,18,22
1,19,112
1,20,26
1,21,55
1,22,125
1,23,58
1,24,16
1,25,104
1,26,90
1,27,9
1,28,2
1,30,2
1,31,1
2,1,1
2,3,4
2,4,10
2,5,12
2,6,16
2,7,11
2,8,12
2,9,15
2,10,16
2,11,39
2,12,56
2,13,107
2,14,96
2,15,67
2,16,77
2,17,76
2,18,78
2,19,79
2,20,64
2,21,40
2,22,29
2,23,84
2,24,21
2,25,6
2,26,3
2,27,5
2,28,12
2,29,3
2,30,2
2,31,1
3,1,12
3,2,7
3,3,36
3,4,41
3,5,108
3,6,279
3,7,300
3,8,558
3,9,625
3,10,603
3,11,667
3,12,499
3,13,564
3,14,515
3,15,486
3,16,421
3,17,399
3,18,339
3,19,415
3,20,354
3,21,302
3,22,240
3,23,86
3,24,53
3,25,63
3,26,77
3,27,112
3,28,34
3,29,14
3,30,6
3,31,1
3,32,2
3,33,1
4,1,14
4,2,169
4,3,861
4,4,2759
4,5,5072
4,6,7250
4,7,12898
4,8,14670
4,9,17691
4,10,15030
4,11,16625
4,12,13277
4,13,12904
4,14,11982
4,15,10536
4,16,9738
4,17,10480
4,18,7641
4,19,4670
4,20,3545
4,21,2910
4,22,1305
4,23,1253
4,24,688
4,25,748
4,26,303
4,27,233
4,28,73
4,29,39
4,31,2
4,33,1
5,1,11
5,2,30
5,3,110
5,4,212
5,5,212
5,6,370
5,7,583
5,8,957
5,9,918
5,10,1260
5,11,3194
5,12,5530
5,13,8107
5,14,10144
5,15,13218
5,16,17772
5,17,30715
5,18,33340
5,19,57271
5,20,72620
5,21,133663
5,22,194766
5,23,213331
5,24,289235
5,25,212066
5,26,119692
5,27,23529
5,28,22388
5,29,646
5,30,56
5,31,20
5,32,83
5,33,1
6,1,5
6,2,4
6,3,3
6,4,16
6,5,13
6,6,34
6,7,54
6,8,157
6,9,303
6,10,702
6,11,1985
6,12,7520
6,13,21135
6,14,21841
6,15,27249
6,16,32620
6,17,44786
6,18,28827
6,19,23730
6,20,35475
6,21,53701
6,22,20650
6,23,13879
6,24,12027
6,25,2982
6,26,822
6,27,435
6,28,146
6,29,62
6,30,16
6,32,1
7,1,1
7,2,1
7,3,12
7,4,9
7,5,27
7,6,52
7,7,74
7,8,120
7,9,239
7,10,723
7,11,2061
7,12,7825
7,13,20477
7,14,35694
7,15,70809
7,16,82257
7,17,102717
7,18,68607
7,19,36242
