record_id,start,end
NW_024467575.1,199014,202920
NW_024467575.1,340082,341501
NW_024467575.1,567549,570102
NW_024467575.1,829837,830720
NW_024467575.1,1333492,1334886
NW_024467575.1,2525576,2527551
NW_024467575.1,2860223,2863332
NW_024467575.1,3385538,3386162
NW_024467575.1,3427443,3429354
NW_024467575.1,3495793,3497164
NW_024467598.1,36432,40438
NW_024467598.1,123150,123615
NW_024467598.1,126032,127289
NW_024467604.1,13881,15931
NW_024467609.1,145834,146074
NW_024467303.1,61121,62508
NW_024467303.1,288872,290387
NW_024467303.1,352612,353850
NW_024467303.1,895180,898090
NW_024467305.1,345129,346380
NW_024467132.1,29419,31060
NW_024467345.1,104848,105423
NW_024467353.1,39362,41004
NW_024467419.1,213643,214769
NW_024467419.1,446733,447633
NW_024467419.1,803899,805671
NW_024467419.1,1205174,1205815
NW_024467419.1,1320859,1322083
NW_024467419.1,1389616,1390608
NW_024467419.1,1403925,1404970
NW_024467419.1,1515152,1515770
NW_024467477.1,40234,41153
NW_024467477.1,126772,128386
NW_024539319.1,51572,52088
NW_024545252.1,402572,403383
NW_024545252.1,716548,718684
NW_024545252.1,973208,975626
NW_024545252.1,1056689,1057967
NW_024545252.1,1482459,1484367
NW_024545252.1,2421429,2422062
NW_024545263.1,436143,439077
NW_024545263.1,554476,555148
NW_024545264.1,512255,513349
NW_024545274.1,119082,120714
NW_024545284.1,6827,8321
NW_024545284.1,107445,108357
NC_054862.1,256793,259597
NC_054862.1,635918,636305
NC_054862.1,1309372,1312247
NC_054862.1,1786139,1789358
NC_054862.1,2504802,2505273
NC_054862.1,3239057,3241851
NC_054862.1,3290974,3291406
NC_054862.1,3311995,3312676
NC_054862.1,3359292,3362026
NC_054863.1,965063,967158
NC_054863.1,1717404,1719072
NW_024541258.1,609834,611786
NW_024541258.1,685882,686890
NW_024541262.1,287515,288892
NW_024541262.1,326728,330387
NW_024541271.1,469636,470302
NW_024541271.1,517389,518332
NW_024541275.1,490211,492369
NW_024541292.1,290885,291963
NW_024541292.1,333654,333912
NW_024541313.1,13,619
NW_024541314.1,207924,210432
NW_024541314.1,211716,213039
NW_024541324.1,176813,177659
NW_024541337.1,73468,74052
NW_024541341.1,128547,129742
NW_024541355.1,94676,95898
NW_024541985.1,2743,4600
NW_024542067.1,208623,209365
NW_024542093.1,16339,17836
NW_024542093.1,101337,103973
NW_024542093.1,196484,198722
NW_024542099.1,295771,297100
NW_024542107.1,128647,131253
NW_024542107.1,209365,211145
NW_024542116.1,136351,137397
NW_024542116.1,236553,237017
NW_024542129.1,16622,20128
NW_024542137.1,35433,36868
NW_024542154.1,3205,3892
NW_024542163.1,53346,54647
NW_024542163.1,58509,59619
NW_024542186.1,62595,65296
NW_024542202.1,9743,10762
NW_024542253.1,20671,22163
NC_054698.1,44963,45640
NC_054698.1,347153,348191
NC_054698.1,1451376,1453177
NC_054698.1,2260249,2263161
NC_054698.1,2453628,2455683
NC_054698.1,2918997,2920128
NT_165979.1,35743,40896
NT_165979.1,149005,149971
NT_165979.1,250566,251453
NT_165979.1,421573,425552
NT_165979.1,953926,955094
NT_165979.1,1755638,1758833
NT_165979.1,2136785,2137728
NT_165979.1,2227904,2229065
NT_165979.1,2596050,2597784
